backers_count,blurb,category,pledged,usd_pledged,usd_goal,currency,name,SuccessfulBool
0,MTS ASL Curriculum Workbook is a reproducible study book to build Early Literacy and Academic skills for primary school age children.,Academic,0.0,0.0,1500.0,USD,Auntie Di's Music Time Sign ASL for Hearing and HOH Children,0
0,"This kit teaches how to print, correct an ugly grasp, and how to make sure your child's fine motor skills are kindergarten ready!",Academic,0.0,0.0,500.0,USD,Jump Start Kindergarten Toolkit,0
5,"Establishing a free, world-class, public library which will be a center  for curating and disseminating knowledge in Nigeria.",Academic,120.0,120.0,100000.0,USD,Ojukwu Balewa Awolowo (O.B.A.) Public Library Of Nigeria,0
0,"Goal: Introducing a new word into the English language/dictionary.
Reason: The beauty of the English language is the freedom to create.",Academic,0.0,0.0,5000.0,USD,"MASTIZE - [mas-TAHYZ, MAS-tahyz]  - to spread",0
17,Zu den Artikeln der DSGVO sind die korrespondierenden Erwägungsgründe und die vergleichbaren Regelungen aus dem BDSG gegenüber gestellt,Academic,356.0,396.80239532,3591.2846003400005,EUR,"Synopse der EU-DSGVO - Artikel, Erwägungsgründe, BDSG-§§",0
12,"Shadow School Board will provide parents & taxpayers a ""how-to manual"" to restore accountability to your school district's real board.",Academic,1136.0,1136.0,13000.0,USD,Shadow School Board - Reforming Texas School Boards,0
0,I want to create an organization that is composed of selfless people who are dedicated to prevent HIV related deaths and transmission.,Academic,0.0,0.0,50000.0,USD,"Research in HIV prevention, treatment, and aid",0
0,"Group of passionate and eager students gaining experience in the Stock market through research, collaboration and hard work.",Academic,0.0,0.0,10000.0,USD,Cardinal Investment Club,0
7,"V.I.P.-Architecture shows the most iconic, the most famous and most important buildings of our planet in one book.",Academic,153.0,170.7370146,6695.5692,EUR,V.I.P.-Architecture,0
0,"A collection of plays, screenplays, and photographs from the productions written by Ross Wells, Texas playwright, director, and actor.",Academic,0.0,0.0,15000.0,USD,Collected Works of Ross Wells,0
5,"a book that talks about and demonstrates a hackintosh build, the pros/cons and legal status and an analysis compared to the mac pro",Academic,72.0,89.4176676,9065.957965,GBP,Hackintosh Build Project Book - # ffffff,0
10,"This magazine is purposed to allow high school students the opportunity to explore their future and determine ""What's Next"".",Academic,826.0,826.0,10000.0,USD,What's Next - Exploring Your Future,0
0,"E-Learning Plattform Fachbereich Mathematik. Bildung für jeden soll keine Idee sein. Mathe, das Haterfach Nr.1, das muss nicht sein.",Academic,0.0,0.0,1788.146683,EUR,ProVi Professionelle Lernvideos,0
7,IWTLE is a textbook designed to teach English to adult learners new to the language starting with the fundamentals rooted in phonics.,Academic,380.0,380.0,10000.0,USD,I Want To Learn English,0
0,"I am building video classes in Economics that are intuitive, visually pleasing and theoretically sound.",Academic,0.0,0.0,9171.345959999999,CAD,MicroEconomics: Mobile Classes,0
0,"The Law of True Life, Greatness, Power and Happiness",Academic,0.0,0.0,50000.0,USD,What All The Worlds Seeking,0
0,TRU'NATION is a venture design to support adolescent students (in middle school and high school) from urban communities achieve success,Academic,0.0,0.0,20000.0,USD,TRU'NATION,0
1,To add advanced measurements of significant swords to my website Sword-Site.Com by travelling to the world's important collections.,Academic,1.0,0.92766014,27829.8042,AUD,Sword-Site Advanced Documentation of Sword Measurements,0
1,"40 Hadith. 40 Months. Ended: 40th B-day. I reflected on, researched, and implemented ~40 Hadith By Imam Nawawi",Academic,20.0,20.0,48000.0,USD,The Nawawi Diaries,0
0,"A serious, readable commentary, the first chapter is free at mmcdonald77.wordpress.com. The book publisher requires this amount, + fee.",Academic,0.0,0.0,2080.0,USD,The Revelation: A Reading of the Vision and Letter of John t,0
0,"I am a novice golfer, but I would like the opportunity to chronicle a round of golf at the world famous Plantation Course at Kapalua.",Places,0.0,0.0,500.0,USD,Send me to Kapalua to play and chronical the course.,0
3,The journey of an amazing mini-Schnauzer's from New Orleans Louisiana to Fairbanks Alaska with many adventures along the way,Places,60.0,60.0,2000.0,USD,Shepard's Journey,0
